threshold,recall_alert,precision_alert,f1
0.05,0.9519230769230769,0.9705882352941176,0.9611650485436893
0.1,0.9423076923076923,0.98,0.9607843137254902
0.15,0.9423076923076923,0.98989898989899,0.9655172413793104
0.2,0.9423076923076923,0.98989898989899,0.9655172413793104
0.25,0.9326923076923077,0.9897959183673469,0.9603960396039604
0.3,0.9326923076923077,0.9897959183673469,0.9603960396039604
0.35,0.9326923076923077,0.9897959183673469,0.9603960396039604
0.4,0.9326923076923077,0.9897959183673469,0.9603960396039604
0.45,0.9134615384615384,0.9895833333333334,0.95
0.5,0.9134615384615384,0.9895833333333334,0.95
0.55,0.9134615384615384,0.9895833333333334,0.95
0.6,0.9134615384615384,0.9895833333333334,0.95
0.65,0.8942307692307693,0.9893617021276596,0.9393939393939394
0.7,0.8942307692307693,0.9893617021276596,0.9393939393939394
0.75,0.8942307692307693,0.9893617021276596,0.9393939393939394
0.8,0.8846153846153846,0.989247311827957,0.934010152284264
0.85,0.875,0.9891304347826086,0.9285714285714286
0.9,0.8653846153846154,0.989010989010989,0.9230769230769231
0.95,0.8653846153846154,0.989010989010989,0.9230769230769231
