threshold,TP,TN,FP,FN,recall,precision,weighted_cost_fp_fn
0.05,99,121,3,5,0.9519230769230769,0.9705882352941176,18.0
0.1,98,122,2,6,0.9423076923076923,0.98,20.0
0.15,98,123,1,6,0.9423076923076923,0.98989898989899,19.0
0.2,98,123,1,6,0.9423076923076923,0.98989898989899,19.0
0.25,97,123,1,7,0.9326923076923077,0.9897959183673469,22.0
0.3,97,123,1,7,0.9326923076923077,0.9897959183673469,22.0
0.35,97,123,1,7,0.9326923076923077,0.9897959183673469,22.0
0.4,97,123,1,7,0.9326923076923077,0.9897959183673469,22.0
0.45,95,123,1,9,0.9134615384615384,0.9895833333333334,28.0
0.5,95,123,1,9,0.9134615384615384,0.9895833333333334,28.0
0.55,95,123,1,9,0.9134615384615384,0.9895833333333334,28.0
0.6,95,123,1,9,0.9134615384615384,0.9895833333333334,28.0
0.65,93,123,1,11,0.8942307692307693,0.9893617021276596,34.0
0.7,93,123,1,11,0.8942307692307693,0.9893617021276596,34.0
0.75,93,123,1,11,0.8942307692307693,0.9893617021276596,34.0
0.8,92,123,1,12,0.8846153846153846,0.989247311827957,37.0
0.85,91,123,1,13,0.875,0.9891304347826086,40.0
0.9,90,123,1,14,0.8653846153846154,0.989010989010989,43.0
0.95,90,123,1,14,0.8653846153846154,0.989010989010989,43.0
